Minutes_since_launch Altitude
0 115.37
0.58 168.88
1.08 333.06
1.67 485.58
2.17 670.01
2.75 847.61
3.25 1019.97
3.83 1200.08
4.33 1357.65
4.92 1531.15
5.42 1695.61
6 1851.31
6.5 2023.8
7.08 2175.48
7.58 2347.97
8.17 2494.52
8.67 2652.04
9.25 2814.89
9.75 2956.02
10.33 3097.98
10.83 3255.98
11.42 3446.64
11.92 3557.36
12.5 3706.12
13 3834.82
13.58 3983.16
14.08 4110.52
14.67 4268.54
15.17 4386.6
15.75 4536.04
16.25 4671.85
16.83 4840.79
17.33 4981.02
17.92 5138.86
18.42 5275.16
19 5426.56
19.5 5566.8
20.08 5701.45
20.58 5836.6
21.17 5964.87
21.67 6100.47
22.25 6257.52
22.75 6376.51
23.33 6497.59
23.83 6606.77
24.42 6753.23
24.92 6878.75
25.5 7022.2
26 7177.93
26 7322.29
27.08 7498.34
27.67 7642.4
28.17 7798.95
28.75 7934.87
29.25 8077.49
29.75 8195.48
30.33 8315.53
30.83 8444.26
31.42 8556.72
31.92 8672.18
32.5 8803.33
33 8941.57
33.58 9095.85
34.08 9254.63
34.67 9391.74
35.17 9558.03
35.75 9712.26
36.25 9891.88
36.83 10079.06
37.33 10216.96
37.92 10410.15
38.42 10515.37
39 10660.02
39.5 10847.65
40.08 10989.62
40.58 11153.91
41.17 11294.62
41.67 11403.03
42.25 11599.06
42.75 11787.18
43.33 11926.47
43.83 12086.39
44.42 12226.73
44.92 12365.71
45.5 12524.38
46 12715.91
46.58 12841.87
47.08 12978.73
47.67 13117.07
48.17 13260.34
48.75 13406.09
49.25 13517.55
49.83 13654.63
50.33 13774.08
50.92 13894.72
51.42 14030.02
52 14141
52.5 14239.88
53.08 14348.95
53.58 14488.37
54.17 14586.36
54.67 14716.27
55.25 14820.37
55.75 14918.42
56.25 15040.17
56.83 15164.12
57.33 15304.98
57.92 15482.9
58.42 15591.52
59 15734.09
59.5 15815.77
60.08 15924.42
60.58 16044.98
61.17 16158.61
61.67 16284.72
62.25 16411.5
62.75 16534.11
63.33 16648.55
63.83 16750.61
64.42 16863.22
64.92 16993.44
65.5 17103.8
66 17227.56
66.58 17337.94
67.08 17430.73
67.67 17553.99
68.17 17656.53
68.75 17767.4
69.25 17881.76
69.83 17991.41
70.33 18108.47
70.92 18218.29
71.42 18340.61
72 18456.36
72.5 18608.02
73.08 18687.86
73.58 18774.84
74.17 18886.92
74.67 19011.97
75.25 19088.27
75.75 19187.84
76.33 19302.38
76.83 19413.39
77.42 19533.44
77.92 19643.95
78.5 19778.16
79 19911.36
79.58 20031.58
80.08 20074.74
80.67 20217.34
81.17 20287.75
81.75 20434.74
82.25 20531.38
82.75 20633.31
83.33 20731.06
83.83 20831.79
84.42 20950.84
84.92 21067.35
85.5 21186.4
86 21251.59
86.58 21417.41
87.08 21449.25
87.67 21562.91
88.17 21657.34
88.75 21744.66
89.25 21902.54
89.83 21981.75
90.33 22040.4
90.92 22174.01
91.42 22234.87
92 22385.25
92.5 22495.89
93.08 22588.22
93.58 22719.29
94.17 22787.01
94.67 22949.27
95.25 23046.55
95.75 23048.44
96.33 23174.76
96.83 23306.35
97.42 23466.16
97.92 23474.39
98.5 23536.57
99 23618.61
99.58 23732.36
100.08 23851.07
100.67 23882.33
101.17 23991.09
101.75 24083.64
102.25 24213.92
102.83 24323.25
103.33 24385.1
103.92 24420.1
104.42 24534.4
105 24763.69
105.5 24667.42
106.08 24848.23
106.58 25030.73
107.17 25059.47
107.67 25167.42
108.17 25250.86
108.75 25308.38
109.25 24859.25
109.83 24041.77
110.33 23396.75
110.92 22772.68
111.42 22003.28
112 21409.14
112.5 20772.6
113.08 20346.54
113.58 19668.12
114.17 19114.84
114.67 18585.28
115.25 18131.06
115.75 17610.43
116.33 17122.37
116.83 16623.9
117.42 16193.08
117.92 15620.53
118.5 15202.79
119 14738.55
119.58 14340.16
120.08 13886.06
120.67 13435.05
121.17 13034.19
121.75 12654.42
122.25 12261.32
122.83 11903.44
123.33 11449.19
123.92 11068.08
124.42 10721.44
125 10375.12
125.5 10051.91
126.08 9778.34
126.58 9405.73
127.17 9109.57
127.67 8834.36
128.25 8544.09
128.75 8265.7
129.33 8002.39
129.83 7720.22
130.42 7413.76
130.92 7118.11
131.5 6826.36
132 6542.81
132.58 6256.25
133.08 5982.6
133.67 5708.78
134.17 5437.6
134.75 5171.97
135.25 4924.37
135.83 4675.33
136.33 4424.03
136.83 4167.63
137.42 3911.97
137.92 3662.76
138.5 3417.2
139 3175.8
139.58 2941.07
140.08 2706.86
140.67 2472.7
141.17 2237.56
141.75 2006.35
142.25 1784.36
142.83 1565.44
143.33 1338.76
143.92 1123.08
144.42 903.44
145 692.25
145.5 476.77
146.08 261.95
146.58 109.39
147.17 108.97
147.67 109.05
148.25 108.89
148.75 108.55
149.33 109.14
149.83 108.3
150.42 108.72
150.92 108.47
151.5 108.05
152 107.79
152.58 108.13
153.08 108.21
153.67 108.38
154.17 107.88
154.75 108.21
155.25 108.3
155.83 107.62
156.33 107.88
156.92 107.04
158 107.37
158.5 106.87
159.08 106.53
159.58 106.28
160.17 106.36
160.67 106.53
161.25 106.62
