Time,Minutes_since_launch, date, Lat, Long, spd, hdg-g, alt-g,Ultraviolet,Ultraviolet,Visible,Visible,Infrared,Infrared,Barometric_Pressure,Internal Temperature,Altitude, ExtTemp,X, accX,Y, accY,Z, accZ, magX, magY, magZ, gyroX,absX,X, gyroY,absY,Y, gyroZ,absZ,Z,unknown,tempFit, Roll, Pitch, hdg-m,ascending
17:21:23,0,9/5/2015,43.9452,-78.897,1.08,70.62,157.7,1.16,75,474,76,2105,71,999.47,45.6,115.37,1.51,-0.82,-5.49,-4.5,7.17,8.2,-0.17,-0.1,0.06,0.54,-8.29,8.29,8.29,-79.76,79.76,79.76,59.29,59.29,59.29,101,27.5342465753,-38.72,-16.42,-125.5,50000000000
17:21:58,0.58,9/5/2015,43.9454,-78.8969,9.12,14.23,157.7,7.22,75,1604,76,11648,71,993.13,45.2,168.88,-3.52,-0.825,-5.94,-4.9375,6.6,7.93,-0.18,-0.1075,0.33,0.4,-33.49,33.49,33.49,-137.34,137.34,137.34,266.89,266.89,266.89,74,23.8356164384,-42.95,21.67,-104.29,50000000000
17:22:28,1.08,9/5/2015,43.9474,-78.8959,11.27,0.07,157.7,5.41,75,1266,76,8593,71,973.88,45.1,333.06,-0.61,-0.754,-3.79,-4.92,9.09,8.058,-0.26,-0.096,0.36,0.33,-24.31,24.31,24.31,54.99,54.99,54.99,-92.91,92.91,92.91,42,19.4520547945,-23.85,1.56,-119.33,50000000000
17:23:03,1.67,9/5/2015,43.9496,-78.895,27.06,30.54,157.7,9.44,75,2017,76,14703,71,956.27,46.2,485.58,-0.68,-1.114,-4.53,-4.604,8.86,8.454,0.18,-0.062,0.08,0.49,20.97,20.97,14.6557142857,19.75,19.75,50.1742857143,-36.81,36.81,85.5314285714,30,17.8082191781,-25.35,5.76,-52.04,50000000000
17:23:33,2.17,9/5/2015,43.9517,-78.8934,20.56,18.82,157.7,9.81,75,2088,76,15511,71,935.32,45.8,670.01,-0.47,-0.54,-4.85,-4.262,8.57,8.714,-0.05,-0.034,-0.11,0.56,-4.53,4.53,16.5671428571,-21.24,21.24,42.2285714286,73.12,73.12,88.03,20,16.4383561644,-30.28,1.88,-99.14,50000000000
17:24:08,2.75,9/5/2015,43.9544,-78.8905,22.63,31.75,157.7,9.7,75,2068,76,15295,71,915.5,45.5,847.61,-0.29,-0.558,-3.91,-4.262,9.15,8.578,0,-0.04,0.17,0.52,-9.77,9.77,13.4814285714,15.92,15.92,25.0971428571,23.3,23.3,55.9014285714,22,16.7123287671,-22.97,2.12,-88.01,50000000000
17:24:38,3.25,9/5/2015,43.957,-78.888,16.9,36.94,157.7,9.55,75,2039,76,15081,71,896.59,45.4,1019.97,-0.65,-0.534,-4.23,-4.252,7.9,8.474,-0.04,-0.036,0.15,0.53,1.23,1.23,10.5742857143,-22.22,22.22,21.2957142857,46.4,46.4,50.3628571429,19,16.301369863,-27.53,4.79,-90.37,50000000000
17:25:13,3.83,9/5/2015,43.9598,-78.8845,25.28,34.66,157.7,7.67,75,1688,76,12614,71,877.17,45.3,1200.08,-0.7,-0.59,-3.79,-3.92,8.41,8.198,-0.29,-0.07,0.2,0.46,-21.67,21.67,8.6614285714,24.14,24.14,18.7957142857,-76.78,76.78,50.7685714286,10,15.0684931507,-24.58,5.44,-124.73,50000000000
17:25:43,4.33,9/5/2015,43.9624,-78.8812,24.19,33.15,157.7,9.85,73.9000405515,2096,76.822087074,15474,70.9541227639,860.46,45.7,1357.65,-0.56,-0.776,-4.48,-3.968,8.34,8.182,0.2,-0.114,0.06,0.49,11.89,11.89,10.5871428571,17.42,17.42,28.6042857143,-41.99,41.99,61.5357142857,0,13.698630137,-28.72,3.36,-52.04,50000000000
17:26:18,4.92,9/5/2015,43.9656,-78.8776,26.02,31.37,157.7,9.4,78.2542579075,2011,80.6907037359,15278,75.0480731318,842.36,44.9,1531.15,-0.75,-1.024,-3.19,-4.068,7.19,8.358,-0.22,-0.062,0.16,0.5,-3.96,3.96,9.4428571429,28.38,28.38,29.9628571429,-54.14,54.14,61.0614285714,-9,12.4657534247,-24.7,5.73,-117.12,50000000000
