Minutes_since_launch Barometric_Pressure
0 999.47
0.58 993.13
1.08 973.88
1.67 956.27
2.17 935.32
2.75 915.5
3.25 896.59
3.83 877.17
4.33 860.46
4.92 842.36
5.42 825.49
6 809.77
6.5 792.64
7.08 777.82
7.58 761.24
8.17 747.38
8.67 732.71
9.25 717.79
9.75 705.06
10.33 692.44
10.83 678.61
11.42 662.22
11.92 652.85
12.5 640.43
13 629.84
13.58 617.81
14.08 607.63
14.67 595.19
15.17 586.03
15.75 574.6
16.25 564.37
16.83 551.85
17.33 541.63
17.92 530.31
18.42 520.69
19 510.17
19.5 500.58
20.08 491.51
20.58 482.54
21.17 474.15
21.67 465.41
22.25 455.45
22.75 448.02
23.33 440.56
23.83 433.92
24.42 425.14
24.92 417.73
25.5 409.39
26 400.49
26 392.38
27.08 382.67
27.67 374.87
28.17 366.54
28.75 359.43
29.25 352.09
29.75 346.11
30.33 340.11
30.83 333.77
31.42 328.31
31.92 322.78
32.5 316.59
33 310.17
33.58 303.13
34.08 296.02
34.67 289.99
35.17 282.81
35.75 276.28
36.25 268.83
36.83 261.24
37.33 255.76
37.92 248.24
38.42 244.22
39 238.78
39.5 231.87
40.08 226.75
40.58 220.94
41.17 216.06
41.67 212.36
42.25 205.8
42.75 199.66
43.33 195.21
43.83 190.2
44.42 185.89
44.92 181.7
45.5 177.01
46 171.48
46.58 167.92
47.08 164.12
47.67 160.35
48.17 156.52
48.75 152.7
49.25 149.83
49.83 146.36
50.33 143.39
50.92 140.44
51.42 137.19
52 134.57
52.5 132.27
53.08 129.77
53.58 126.63
54.17 124.46
54.67 121.63
55.25 119.4
55.75 117.33
56.25 114.8
56.83 112.27
57.33 109.45
57.92 105.97
58.42 103.89
59 101.21
59.5 99.7
60.08 97.72
60.58 95.56
61.17 93.56
61.67 91.38
62.25 89.23
62.75 87.19
63.33 85.32
63.83 83.68
64.42 81.9
64.92 79.88
65.5 78.2
66 76.35
66.58 74.73
67.08 73.39
67.67 71.64
68.17 70.21
68.75 68.69
69.25 67.15
69.83 65.7
70.33 64.18
70.92 62.78
71.42 61.25
72 59.83
72.5 58.01
73.08 57.07
73.58 56.06
74.17 54.78
74.67 53.38
75.25 52.54
75.75 51.46
76.33 50.24
76.83 49.08
77.42 47.85
77.92 46.74
78.5 45.42
79 44.14
79.58 43.01
80.08 42.61
80.67 41.31
81.17 40.68
81.75 39.39
82.25 38.56
82.75 37.7
83.33 36.89
83.83 36.07
84.42 35.12
84.92 34.21
85.5 33.3
86 32.81
86.58 31.59
87.08 31.36
87.67 30.55
88.17 29.89
88.75 29.29
89.25 28.23
89.83 27.71
90.33 27.33
90.92 26.48
91.42 26.1
92 25.18
92.5 24.52
93.08 23.98
93.58 23.23
94.17 22.85
94.67 21.96
95.25 21.44
95.75 21.43
96.33 20.77
96.83 20.1
97.42 19.31
97.92 19.27
98.5 18.97
99 18.58
99.58 18.05
100.08 17.51
100.67 17.37
101.17 16.89
101.75 16.49
102.25 15.94
102.83 15.49
103.33 15.24
103.92 15.1
104.42 14.65
105 13.78
105.5 14.14
106.08 13.47
106.58 12.82
107.17 12.72
107.67 12.35
108.17 12.07
108.75 11.88
109.25 13.43
109.83 16.67
110.33 19.65
110.92 22.93
111.42 27.57
112 31.65
112.5 36.55
113.08 40.16
113.58 46.5
114.17 52.25
114.67 58.28
115.25 63.89
115.75 70.85
116.33 77.92
116.83 85.72
117.42 92.96
117.92 103.34
118.5 111.49
119 121.15
119.58 129.97
120.08 140.65
120.67 151.95
121.17 162.6
121.75 173.24
122.25 184.84
122.83 195.94
123.33 210.8
123.92 223.96
124.42 236.5
125 249.59
125.5 262.33
126.08 273.52
126.58 289.38
127.17 302.51
127.67 315.14
128.25 328.92
128.75 342.59
129.33 355.94
129.83 370.71
130.42 387.31
130.92 403.89
131.5 420.81
132 437.8
132.58 455.53
133.08 473
133.67 491.02
134.17 509.41
134.75 527.96
135.25 545.74
135.83 564.11
136.33 583.15
136.83 603.11
137.42 623.56
137.92 644.03
138.5 664.73
139 685.6
139.58 706.4
140.08 727.66
140.67 749.43
141.17 771.82
141.75 794.36
142.25 816.5
142.83 838.82
143.33 862.45
143.92 885.43
144.42 909.34
145 932.82
145.5 957.28
146.08 982.18
146.58 1000.18
147.17 1000.23
147.67 1000.22
148.25 1000.24
148.75 1000.28
149.33 1000.21
149.83 1000.31
150.42 1000.26
150.92 1000.29
151.5 1000.34
152 1000.37
152.58 1000.33
153.08 1000.32
153.67 1000.3
154.17 1000.36
154.75 1000.32
155.25 1000.31
155.83 1000.39
156.33 1000.36
156.92 1000.46
158 1000.42
158.5 1000.48
159.08 1000.52
159.58 1000.55
160.17 1000.54
160.67 1000.52
161.25 1000.51
